epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3107.76,0.89303,0.53517,0.94666,0.44868,0.39163,0.33628,0.1421,1.98549,1.0348,1.54517,0.003862,0.003862,0.003862
126,3127.81,0.89437,0.52552,0.946,0.37394,0.31732,0.24237,0.09406,2.19594,1.20281,1.6946,0.0038125,0.0038125,0.0038125
127,3147.81,0.88843,0.53004,0.94732,0.34023,0.30352,0.21843,0.08588,2.22226,1.26909,1.70987,0.003763,0.003763,0.003763
128,3167.79,0.90364,0.53958,0.94738,0.4964,0.44057,0.40141,0.17592,1.86555,0.92703,1.46475,0.0037135,0.0037135,0.0037135
129,3187.83,0.88978,0.5339,0.95017,0.27602,0.28236,0.18145,0.06993,2.31427,1.40767,1.77095,0.003664,0.003664,0.003664
130,3208.02,0.88759,0.52509,0.94577,0.26057,0.27136,0.17025,0.06511,2.34051,1.45229,1.78245,0.0036145,0.0036145,0.0036145
131,3228.1,0.88483,0.52325,0.94623,0.33186,0.3122,0.21063,0.08055,2.22049,1.25575,1.69781,0.003565,0.003565,0.003565
132,3248.17,0.87062,0.51833,0.94178,0.24465,0.2233,0.13939,0.05285,2.44186,1.56705,1.85765,0.0035155,0.0035155,0.0035155
133,3268.35,0.87314,0.52178,0.94098,0.3045,0.31807,0.20614,0.0779,2.2697,1.29763,1.73968,0.003466,0.003466,0.003466
134,3288.38,0.87587,0.51877,0.94387,0.37073,0.29615,0.22518,0.08535,2.23197,1.2486,1.71669,0.0034165,0.0034165,0.0034165
135,3308.44,0.87983,0.52151,0.94175,0.3902,0.30195,0.22536,0.0842,2.25279,1.26249,1.73253,0.003367,0.003367,0.003367
136,3328.56,0.86884,0.51453,0.94012,0.41111,0.29707,0.23281,0.08968,2.19905,1.21995,1.69608,0.0033175,0.0033175,0.0033175
137,3348.74,0.86678,0.51106,0.93556,0.33234,0.29383,0.20538,0.07813,2.26291,1.30136,1.75066,0.003268,0.003268,0.003268
138,3368.73,0.86898,0.5131,0.93736,0.53336,0.41716,0.39473,0.17372,1.90312,0.91934,1.49944,0.0032185,0.0032185,0.0032185
139,3388.79,0.86977,0.51586,0.94142,0.51053,0.33303,0.30327,0.12508,2.04379,1.03552,1.5991,0.003169,0.003169,0.003169
140,3409.02,0.8603,0.50901,0.94121,0.38602,0.2628,0.20846,0.07995,2.27615,1.29656,1.76793,0.0031195,0.0031195,0.0031195
141,3429.1,0.86426,0.50933,0.94,0.36793,0.25656,0.1894,0.07084,2.34191,1.38723,1.81585,0.00307,0.00307,0.00307
142,3449.36,0.86468,0.51449,0.94013,0.35984,0.21012,0.15952,0.05723,2.45035,1.52844,1.892,0.0030205,0.0030205,0.0030205
143,3469.69,0.86382,0.51018,0.94085,0.34372,0.15974,0.13367,0.04561,2.56629,1.77134,1.97178,0.002971,0.002971,0.002971
144,3490.07,0.86164,0.50707,0.94004,0.31874,0.2925,0.18988,0.07029,2.3623,1.39387,1.83176,0.0029215,0.0029215,0.0029215
145,3510.28,0.85359,0.50699,0.93394,0.3356,0.2933,0.20259,0.07777,2.33779,1.33204,1.81533,0.002872,0.002872,0.002872
146,3530.58,0.85005,0.50354,0.93326,0.3315,0.30396,0.20697,0.07935,2.32133,1.30443,1.8062,0.0028225,0.0028225,0.0028225
